Date,Open,High,Low,Close,Adj Close,Volume
1987-09-01,12.484375,12.593750,11.281250,12.156250,3.658808,155925600
1987-10-01,12.281250,12.500000,7.718750,10.656250,3.207334,222472400
1987-11-01,10.375000,11.000000,9.000000,9.187500,2.765268,116646000
1987-12-01,9.312500,10.500000,8.812500,9.531250,2.902782,131424000
1988-01-01,9.718750,10.500000,9.156250,10.500000,3.197818,128872400
1988-02-01,10.500000,10.906250,9.750000,10.656250,3.245404,112541200
1988-03-01,10.625000,11.156250,10.343750,10.500000,3.237297,134066000
1988-04-01,10.437500,11.375000,10.281250,11.218750,3.458899,136432000
1988-05-01,11.218750,11.437500,10.781250,11.250000,3.468534,89578000
1988-06-01,11.125000,11.968750,10.875000,11.343750,3.541581,149382000
1988-07-01,11.281250,11.843750,11.031250,11.843750,3.697685,98825600
1988-08-01,11.781250,11.937500,11.250000,11.625000,3.629392,112506800
1988-09-01,11.562500,11.750000,11.031250,11.187500,3.534268,133003200
1988-10-01,11.125000,11.687500,10.843750,11.187500,3.534268,99668800
1988-11-01,11.156250,11.343750,10.093750,10.812500,3.415801,100018400
1988-12-01,10.781250,11.625000,10.562500,11.000000,3.518400,101334400
1989-01-01,10.875000,11.593750,10.781250,11.593750,3.708311,101827600
1989-02-01,11.500000,11.593750,10.843750,10.968750,3.508405,85284800
1989-03-01,11.000000,11.531250,10.718750,10.968750,3.550861,118401200
1989-04-01,10.906250,11.218750,10.375000,10.781250,3.490160,162047200
1989-05-01,10.718750,11.062500,10.437500,10.781250,3.490160,121500800
1989-06-01,10.781250,11.500000,10.750000,11.000000,3.607802,118291200
1989-07-01,11.062500,11.687500,10.875000,11.437500,3.751293,101170400
1989-08-01,11.468750,11.562500,10.781250,10.937500,3.587305,125412800
1989-09-01,10.937500,11.406250,10.906250,11.187500,3.717793,106638000
1989-10-01,11.187500,11.718750,10.812500,11.500000,3.821642,124611600
1989-11-01,11.531250,12.031250,11.250000,11.812500,3.925490,77686400
1989-12-01,11.843750,12.906250,11.812500,12.500000,4.208705,102131600
1990-01-01,12.468750,12.625000,11.406250,11.750000,3.956184,106407600
1990-02-01,11.812500,12.281250,11.562500,11.750000,3.956184,87748800
1990-03-01,11.687500,11.937500,11.375000,11.562500,3.942332,93473200
1990-04-01,11.468750,11.812500,11.218750,11.312500,3.857090,74631600
1990-05-01,11.375000,12.156250,11.250000,12.000000,4.091500,101425200
1990-06-01,12.031250,12.312500,11.687500,11.968750,4.134191,96683200
1990-07-01,11.906250,13.000000,11.687500,12.968750,4.479606,112125200
1990-08-01,13.000000,13.781250,12.125000,12.500000,4.317692,150198000
