Regular Gasoline Retail Prices,,
https://www.eia.gov/outlooks/steo/realprices/,,
00:35:43 GMT+0200 (Central European Summer Time),,
Source: U.S. Energy Information Administration,,
Month,Real Values,Nominal Values
Dec 1998,1.67,0.95
Nov 1998,1.76,1
Oct 1998,1.8,1.02
Sep 1998,1.79,1.01
Aug 1998,1.82,1.03
Jul 1998,1.88,1.06
Jun 1998,1.9,1.06
May 1998,1.9,1.06
Apr 1998,1.84,1.03
Mar 1998,1.82,1.02
Feb 1998,1.88,1.05
Jan 1998,1.95,1.09
Dec 1997,2.03,1.13
Nov 1997,2.1,1.17
Oct 1997,2.15,1.2
Sep 1997,2.22,1.23
Aug 1997,2.21,1.22
Jul 1997,2.12,1.17
Jun 1997,2.17,1.2
May 1997,2.18,1.2
Apr 1997,2.18,1.2
Mar 1997,2.19,1.21
Feb 1997,2.24,1.23
Jan 1997,2.25,1.24
Dec 1996,2.25,1.24
Nov 1996,2.25,1.23
Oct 1996,2.21,1.2
Sep 1996,2.21,1.2
Aug 1996,2.23,1.21
Jul 1996,2.27,1.23
Jun 1996,2.33,1.26
May 1996,2.37,1.28
Apr 1996,2.29,1.23
Mar 1996,2.12,1.14
Feb 1996,2.04,1.09
Jan 1996,2.05,1.09
Dec 1995,2.02,1.07
Nov 1995,2.01,1.06
Oct 1995,2.06,1.09
Sep 1995,2.11,1.11
Aug 1995,2.13,1.12
Jul 1995,2.19,1.15
Jun 1995,2.27,1.19
May 1995,2.25,1.18
Apr 1995,2.12,1.11
Mar 1995,2.06,1.07
Feb 1995,2.06,1.07
Jan 1995,2.09,1.08
Dec 1994,2.11,1.09
Nov 1994,2.16,1.12
Oct 1994,2.16,1.11
Sep 1994,2.22,1.14
Aug 1994,2.25,1.15
Jul 1994,2.16,1.11
Jun 1994,2.12,1.08
May 1994,2.06,1.05
Apr 1994,2.03,1.03
Mar 1994,1.99,1.01
Feb 1994,2,1.01
Jan 1994,1.98,1
Dec 1993,2.01,1.01
Nov 1993,2.12,1.07
Oct 1993,2.18,1.09
Sep 1993,2.1,1.05
Aug 1993,2.13,1.06
Jul 1993,2.16,1.08
Jun 1993,2.21,1.1
May 1993,2.21,1.1
Apr 1993,2.18,1.08
Mar 1993,2.13,1.05
Feb 1993,2.14,1.05
Jan 1993,2.16,1.06
Dec 1992,2.2,1.08
Nov 1992,2.27,1.11
Oct 1992,2.28,1.11
Sep 1992,2.31,1.12
Aug 1992,2.31,1.12
Jul 1992,2.35,1.14
Jun 1992,2.37,1.14
May 1992,2.3,1.11
Apr 1992,2.19,1.05
Mar 1992,2.11,1.01
Feb 1992,2.11,1.01
Jan 1992,2.14,1.02
Dec 1991,2.26,1.08
Nov 1991,2.31,1.1
Oct 1991,2.3,1.09
Sep 1991,2.35,1.11
Aug 1991,2.37,1.11
Jul 1991,2.33,1.1
Jun 1991,2.41,1.13
May 1991,2.41,1.13
Apr 1991,2.31,1.08
Mar 1991,2.24,1.04
Feb 1991,2.36,1.09
Jan 1991,2.54,1.18
Dec 1990,2.83,1.31
Nov 1990,2.9,1.34
Oct 1990,2.92,1.34
Sep 1990,2.75,1.26
Aug 1990,2.55,1.16
Jul 1990,2.33,1.05
Jun 1990,2.36,1.06
