U.S. Ending Stocks of Crude Oil Monthly
https://www.eia.gov/opendata/v1/qb.php?sdid=PET.MCRSTUS1.M
00:20:56 GMT+0200 (Central European Summer Time)
Source: U.S. Energy Information Administration
Month,Series ID: PET.MCRSTUS1.M Thousand Barrels
Jun 1973,248857
May 1973,257867
Apr 1973,248783
Mar 1973,244131
Feb 1973,235362
Jan 1973,237469
Dec 1972,246395
Nov 1972,251306
Oct 1972,253748
Sep 1972,250802
Aug 1972,257976
Jul 1972,265843
Jun 1972,271381
May 1972,279490
Apr 1972,266636
Mar 1972,258902
Feb 1972,252945
Jan 1972,251012
Dec 1971,259648
Nov 1971,265552
Oct 1971,265899
Sep 1971,269771
Aug 1971,272417
Jul 1971,273235
Jun 1971,279337
May 1971,284320
Apr 1971,271445
Mar 1971,267246
Feb 1971,266864
Jan 1971,269806
Dec 1970,276367
Nov 1970,271303
Oct 1970,265479
Sep 1970,259196
Aug 1970,254144
Jul 1970,266854
Jun 1970,279894
May 1970,284824
Apr 1970,278037
Mar 1970,274643
Feb 1970,269628
Jan 1970,267087
Dec 1969,265227
Nov 1969,264756
Oct 1969,264285
Sep 1969,262528
Aug 1969,267721
Jul 1969,277482
Jun 1969,284544
May 1969,281271
Apr 1969,273204
Mar 1969,264178
Feb 1969,265298
Jan 1969,279483
Dec 1968,272193
Nov 1968,271587
Oct 1968,266330
Sep 1968,262771
Aug 1968,266368
Jul 1968,265755
Jun 1968,264896
May 1968,262021
Apr 1968,262087
Mar 1968,256864
Feb 1968,245271
Jan 1968,244946
Dec 1967,248970
Nov 1967,254185
Oct 1967,255114
Sep 1967,257286
Aug 1967,261566
Jul 1967,256242
Jun 1967,261615
May 1967,268845
Apr 1967,266755
Mar 1967,258106
Feb 1967,252388
Jan 1967,250646
Dec 1966,238391
Nov 1966,241692
Oct 1966,236092
Sep 1966,238198
Aug 1966,245347
Jul 1966,246877
Jun 1966,253388
May 1966,250418
Apr 1966,245232
Mar 1966,233224
Feb 1966,223422
Jan 1966,220302
Dec 1965,220289
Nov 1965,226697
Oct 1965,231816
Sep 1965,231100
Aug 1965,236381
Jul 1965,242101
Jun 1965,253586
May 1965,255071
Apr 1965,251375
Mar 1965,239563
Feb 1965,230268
Jan 1965,230165
