U.S. Exports of Crude Oil Monthly
https://www.eia.gov/opendata/v1/qb.php?sdid=PET.MCREXUS1.M
00:27:02 GMT+0200 (Central European Summer Time)
Source: U.S. Energy Information Administration
Month,Series ID: PET.MCREXUS1.M Thousand Barrels
Sep 2003,99
Aug 2003,114
Jul 2003,214
Jun 2003,1363
May 2003,452
Apr 2003,360
Mar 2003,297
Feb 2003,140
Jan 2003,318
Dec 2002,52
Nov 2002,290
Oct 2002,122
Sep 2002,218
Aug 2002,267
Jul 2002,1016
Jun 2002,161
May 2002,224
Apr 2002,228
Mar 2002,254
Feb 2002,124
Jan 2002,339
Dec 2001,380
Nov 2001,265
Oct 2001,351
Sep 2001,238
Aug 2001,874
Jul 2001,334
Jun 2001,452
May 2001,1981
Apr 2001,145
Mar 2001,1147
Feb 2001,674
Jan 2001,545
Dec 2000,498
Nov 2000,71
Oct 2000,273
Sep 2000,688
Aug 2000,536
Jul 2000,466
Jun 2000,282
May 2000,1062
Apr 2000,3706
Mar 2000,4449
Feb 2000,871
Jan 2000,5450
Dec 1999,4131
Nov 1999,2505
Oct 1999,1749
Sep 1999,811
Aug 1999,4102
Jul 1999,3717
Jun 1999,3679
May 1999,2742
Apr 1999,9962
Mar 1999,2960
Feb 1999,3342
Jan 1999,3332
Dec 1998,2793
Nov 1998,1814
Oct 1998,2704
Sep 1998,1035
Aug 1998,1585
Jul 1998,3222
Jun 1998,1877
May 1998,4451
Apr 1998,4888
Mar 1998,3073
Feb 1998,5514
Jan 1998,7146
Dec 1997,4060
Nov 1997,975
Oct 1997,4717
Sep 1997,3665
Aug 1997,3419
Jul 1997,2166
Jun 1997,1708
May 1997,800
Apr 1997,2772
Mar 1997,4230
Feb 1997,6414
Jan 1997,4382
Dec 1996,2985
Nov 1996,5161
Oct 1996,4144
Sep 1996,4410
Aug 1996,1378
Jul 1996,4314
Jun 1996,3889
May 1996,1138
Apr 1996,4448
Mar 1996,2918
Feb 1996,2674
Jan 1996,2752
Dec 1995,3922
Nov 1995,3530
Oct 1995,1543
Sep 1995,2234
Aug 1995,1905
Jul 1995,3184
Jun 1995,3028
May 1995,2256
Apr 1995,4662
Mar 1995,2099
Feb 1995,2653
Jan 1995,3493
Dec 1994,3664
Nov 1994,3048
Oct 1994,4285
Sep 1994,1833
Aug 1994,2232
Jul 1994,2607
Jun 1994,3218
May 1994,3647
Apr 1994,3585
Mar 1994,1256
Feb 1994,3244
Jan 1994,3401
Dec 1993,1944
Nov 1993,2016
Oct 1993,1929
Sep 1993,3204
Aug 1993,1712
Jul 1993,1936
Jun 1993,4493
May 1993,3479
Apr 1993,2189
Mar 1993,4301
Feb 1993,4646
Jan 1993,3984
Dec 1992,3329
Nov 1992,3325
Oct 1992,3292
Sep 1992,2028
Aug 1992,4108
Jul 1992,1651
Jun 1992,3213
May 1992,3272
Apr 1992,693
Mar 1992,3263
Feb 1992,647
Jan 1992,3653
Dec 1991,4109
Nov 1991,3773
Oct 1991,2839
Sep 1991,3273
Aug 1991,1700
Jul 1991,4302
Jun 1991,2352
May 1991,5114
Apr 1991,4857
Mar 1991,4233
Feb 1991,4267
Jan 1991,1565
Dec 1990,5013
Nov 1990,4124
Oct 1990,3233
Sep 1990,2050
Aug 1990,1990
Jul 1990,2762
Jun 1990,2639
May 1990,3474
Apr 1990,3338
Mar 1990,4104
Feb 1990,2843
